|   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:46.449 UTC [17956] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:47.439 UTC [17957] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:47.439 UTC [17957] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:48.501 UTC [17958] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:48.501 UTC [17958] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:49.438 UTC [17959] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:49.438 UTC [17959] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:50.759 UTC [17967] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:50.759 UTC [17967] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:52.450 UTC [17968] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:52.450 UTC [17968] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:53.436 UTC [17969] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:53.436 UTC [17969] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:54.636 UTC [17970] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:54.636 UTC [17970] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:55.733 UTC [17978] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:55.733 UTC [17978] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:56.972 UTC [17979] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:56.972 UTC [17979] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:57.918 UTC [17980] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:57.918 UTC [17980] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:58.872 UTC [17981] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:58.872 UTC [17981] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:25:59.746 UTC [17982] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:25:59.746 UTC [17982] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:00.726 UTC [17990] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:00.726 UTC [17990] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:02.060 UTC [17991] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:02.060 UTC [17991] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:03.158 UTC [17992] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:03.158 UTC [17992] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:04.122 UTC [17993] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:04.122 UTC [17993] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:05.252 UTC [18001] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:05.252 UTC [18001] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:06.245 UTC [18002] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:06.245 UTC [18002] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:06.845 UTC [18003] FATAL:  password authentication failed for user "postgre"
postgres-1  | 2025-10-21 05:26:06.845 UTC [18003] DETAIL:  Role "postgre" does not exist.
postgres-1  |   Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:07.254 UTC [18004] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:07.254 UTC [18004] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:08.656 UTC [18005] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:08.656 UTC [18005] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:09.744 UTC [18006] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:09.744 UTC [18006] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:10.715 UTC [18014] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:10.715 UTC [18014] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:11.874 UTC [18015] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:11.874 UTC [18015] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:13.252 UTC [18016] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:13.252 UTC [18016] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:14.399 UTC [18017] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:14.399 UTC [18017] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:15.508 UTC [18026] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:15.508 UTC [18026] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:16.556 UTC [18027] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:16.556 UTC [18027] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:17.588 UTC [18028] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:17.588 UTC [18028] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:18.638 UTC [18029] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:18.638 UTC [18029] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:20.046 UTC [18030] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:20.046 UTC [18030] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:21.350 UTC [18038] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:21.350 UTC [18038] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:22.514 UTC [18039] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:22.514 UTC [18039] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:23.558 UTC [18040] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:23.558 UTC [18040] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:24.577 UTC [18041] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:24.577 UTC [18041] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:25.456 UTC [18049] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:25.456 UTC [18049] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:26.357 UTC [18050] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:26.357 UTC [18050] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-10-21 05:26:27.521 UTC [18051] FATAL:  password authentication failed for user "postgres"
postgres-1  | 2025-10-21 05:26:27.521 UTC [18051] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
