postgres-1  | 2025-05-06 00:41:24.091 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres-1  | 2025-05-06 00:41:24.091 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres-1  | 2025-05-06 00:41:24.094 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres-1  | 2025-05-06 00:41:24.100 UTC [29] LOG:  database system was shut down at 2025-05-06 00:41:22 UTC
postgres-1  | 2025-05-06 00:41:24.108 UTC [1] LOG:  database system is ready to accept connections
postgres-1  | 2025-05-06 00:41:29.775 UTC [40] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:29.775 UTC [40] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:31.514 UTC [41] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:31.514 UTC [41] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:31.770 UTC [42] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:31.770 UTC [42] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:32.225 UTC [43] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:32.225 UTC [43] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:33.932 UTC [44] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:33.932 UTC [44] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:34.182 UTC [51] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:34.182 UTC [51] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:34.694 UTC [53] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:34.694 UTC [53] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:36.362 UTC [54] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:36.362 UTC [54] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:36.608 UTC [55] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:36.608 UTC [55] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:37.325 UTC [56] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:37.325 UTC [56] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:38.991 UTC [57] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:38.991 UTC [57] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:39.240 UTC [58] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:39.240 UTC [58] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:40.360 UTC [66] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:40.360 UTC [66] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:42.036 UTC [67] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:42.036 UTC [67] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:42.284 UTC [68] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:42.284 UTC [68] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:44.185 UTC [70] FATAL:  password authentication failed for user "trilogy_user"
postgres-1  | 2025-05-06 00:41:44.185 UTC [70] DETAIL:  Connection matched pg_hba.conf line 100: "host all all all scram-sha-256"
postgres-1  | 2025-05-06 00:41:45.860 UTC [78] FATAL:  password authentication failed for user "trilogy_user"
